Country,Population(millions),Heart disease Disability(DALYS lost per 1000 population),Heart disease Mortality(number of deaths),Stroke Disability(DALYS lost per 1000 population),Stroke Mortality(number of deaths),Rheumatic heart disease(number of deaths),Percentage of smokers men,Percentage of smokers women,Diabetes(percentage),Number of publications,Legal status of smoking,Country
Saint Kitts and Nevis,42,10,46,19,84,0,,,7.3,,unknown,Saint Kitts and Nevis
Saint Lucia,148,6,71,11,120,4,34.6,5.0,6.2,,restricted,Saint Lucia
Saint Vincent and Grenadines,119,9,103,10,88,2,34.6,5.6,7.3,,unknown,Saint Vincent and Grenadines
Samoa,176,14,117,14,128,3,67.4,28.8,6.1,,banned,Samoa
San Marino,27,5,40,3,26,1,,,9.2,,unknown,San Marino
Sao Tome and Principe,157,7,81,10,107,2,,,0.9,,not regulated,Sao Tome and Principe
Saudi Arabia,23520,17,16438,4,3818,126,29.1,1.2,9.3,51,banned,Saudi Arabia
Senegal,9855,10,3838,12,4154,355,21.2,1.5,3.4,3,not regulated,Senegal
Serbia & Montenegro,10535,12,23610,12,21756,238,55.5,51.8,4.2,21,not regulated,Serbia & Montenegro
Seychelles,80,7,54,2,15,1,32.5,15.0,14.6,,unknown,Seychelles
Sierra Leone,4764,13,2813,15,3035,216,,,3.3,,unknown,Sierra Leone
Singapore,4183,7,3946,3,1716,39,23.7,3.2,11.4,76,restricted,Singapore
Slovakia,5398,12,14609,5,4445,131,42.3,28.0,3.9,25,banned,Slovakia
Slovenia,1986,6,2803,6,2003,87,32.7,20.8,4.3,34,restricted,Slovenia
Solomon Islands,463,12,213,13,220,6,,,6.4,,restricted,Solomon Islands
Somalia,9480,19,6818,13,4426,333,,,2.7,,unknown,Somalia
South Africa,44759,9,27013,11,30306,792,43.4,13.9,3.4,77,restricted,South Africa
Spain,40977,4,45018,3,34880,1738,43.9,31.2,8.7,689,restricted,Spain
Sri Lanka,18910,8,16297,7,13348,175,38.7,3.1,5.4,6,banned,Sri Lanka
Sudan,32878,15,28458,10,16532,800,27.7,2.7,2.9,,restricted,Sudan
Suriname,432,13,397,12,362,4,,,3.8,,not regulated,Suriname
Swaziland,1069,8,529,8,499,13,19.6,4.9,2.9,,not regulated,Swaziland
Sweden,8867,5,20122,3,9984,143,21.3,24.9,4.3,654,banned,Sweden
Switzerland,7171,4,10746,2,4508,112,37.6,28.3,3.9,440,restricted,Switzerland
Syrian Arab Republic,17381,13,11168,11,7675,1715,44.0,16.7,8.2,,banned,Syrian Arab Republic
Tajikistan,6195,23,11447,7,3048,419,,,3.1,,not regulated,Tajikistan
"Tanzania, United Republic of",36276,10,14720,12,16115,439,48.9,7.2,1.3,,not regulated,"Tanzania, United Republic of"
Thailand,62193,6,28425,5,24810,456,32.2,2.7,3.8,59,restricted,Thailand
Timor-Leste,739,18,635,10,315,49,,,,,unknown,Timor-Leste
Togo,4801,10,2474,12,2675,175,,,3.1,2,not regulated,Togo
Tonga,103,10,70,12,79,2,62.1,14.2,6.3,,banned,Tonga
Trinidad and Tobago,1298,15,2156,10,1253,23,,,7.3,5,not regulated,Trinidad and Tobago
Tunisia,9728,15,12956,6,4798,298,52.9,2.5,2.9,8,restricted,Tunisia
Turkey,70318,16,102552,13,62782,1584,51.1,18.5,7.3,578,banned,Turkey
Turkmenistan,4794,34,11671,7,2182,221,,,3.2,,banned,Turkmenistan
Tuvalu,10,18,11,20,11,0,,,6.3,,banned,Tuvalu
Uganda,25004,10,10163,11,11043,288,33.4,7.1,1.1,2,restricted,Uganda
Ukraine,48902,28,335610,13,126117,3085,55.5,14.7,4.4,19,restricted,Ukraine
United Arab Emirates,2937,17,2235,4,363,16,27.6,4.0,20.5,8,restricted,United Arab Emirates
United Kingdom,59068,7,120530,4,59322,1712,34.6,34.4,3.9,2667,not regulated,United Kingdom
United States of America,291038,8,514450,4,163768,3479,27.8,22.3,8.8,12502,restricted,United States of America
Uruguay,3391,6,3980,7,3773,32,39.4,30.8,6.8,2,restricted,Uruguay
Uzbekistan,25705,24,55693,12,23436,1558,28.7,1.4,3.2,1,not regulated,Uzbekistan
Vanuatu,207,13,120,13,122,3,47.9,4.8,6.9,,restricted,Vanuatu
Venezuela,25226,10,17967,5,8720,208,51.9,20.5,4.3,,unknown,Venezuela
Viet Nam,80278,10,66179,8,58308,4210,53.2,3.0,1.8,,banned,Viet Nam
Yemen,19315,22,16217,9,6464,743,60.0,29.0,4.4,,unknown,Yemen
Zambia,10698,8,4153,9,4604,135,21.4,8.8,1.6,,restricted,Zambia
Zimbabwe,12835,8,5752,10,6264,158,32.2,4.6,2.0,2,unknown,Zimbabwe
